rank,uid,username,type
1,33563,万受无酱,提督
2,244761,kooangel,提督
3,71161734,焰语娜娜,舰长
4,675359,出云的天线,舰长
5,306581,别说话-我在潜行,舰长
6,1668762828,Amnelis,舰长
7,28219035,羽意_,舰长
8,43657743,好想再睡多一会,舰长
9,542204,羊葱冰沙,舰长
10,251481034,Sora泉,舰长
11,179619755,gglyeah,舰长
12,13490,CZT_吃枕头,舰长
13,6666274,LadonQ,舰长
14,17895145,今年的我稍微有些大胆,舰长
15,3493262004324891,山竹_June,舰长
16,444976250,Tomjojo,舰长
17,67765750,坐在马桶上冥想,舰长
18,13921283,错了错了滑轨投降了,舰长
19,16257134,笨饭无聊,舰长
20,52765711,风稀饭大王丶,舰长
21,95044,dqdqe,舰长
22,1608271,zf000ooo,舰长
23,322018616,已经不需要魔法了,舰长
24,3546619314178131,樱樱樱夜夜月,舰长
25,13235420,高达是真的帅,舰长
26,491242410,芷芋可不是这么说的,舰长
27,85443681,Emu-Ra,舰长
28,2355140,升温啦注意散热哦,舰长
29,23209875,天心逸,舰长
