rank,uid,username,type
1,71161734,焰语娜娜,舰长
2,107954692,酸辣天使腌入味,舰长
3,114121,綾見ゆき,舰长
4,675359,出云的天线,舰长
5,306581,别说话-我在潜行,舰长
6,1668762828,Amnelis,舰长
7,251481034,Sora泉,舰长
8,43657743,好想再睡多一会,舰长
9,3097852,Dive炼狱,舰长
10,28219035,羽意_,舰长
11,17049803,充满智慧的琪露諾,舰长
12,542204,羊葱冰沙,舰长
13,1052926133,无已时,舰长
14,179619755,gglyeah,舰长
15,6666274,LadonQ,舰长
16,52765711,风稀饭大王丶,舰长
17,3493262004324891,山竹_June,舰长
18,11449682,不安定の観測者,舰长
19,11927262,麦片加果冻,舰长
20,2729248,予星以梦゜,舰长
21,385680548,阿伊蕾特家的Polar_star,舰长
22,13490,CZT_吃枕头,舰长
23,260531039,金翅大酱菌,舰长
24,283768,雷云飘飘,舰长
25,3195284,妖刀静刃,舰长
26,444976250,Tomjojo,舰长
27,3996044,懒得要凉,舰长
28,17895145,今年的我稍微有些大胆,舰长
29,67765750,坐在马桶上冥想,舰长
30,10126843,枼草Folias,舰长
31,13921283,错了错了滑轨投降了,舰长
32,144133,Maybee开水想要身体健康,舰长
33,12497617,胡桃Usa,舰长
34,14176,DLS_MWZZ,舰长
35,33902337,湿滑Official,舰长
36,4227517,阿布_Buu,舰长
37,33804922,卡恩_Kahn,舰长
38,107645084,虹翎金,舰长
39,29430027,水果摊ss,舰长
40,102307145,自闭的硕硕,舰长
41,13908542,柊真华Official,舰长
42,20643878,枯叶寻风,舰长
43,16257134,笨饭无聊,舰长
44,2838958,NPC·ZERO,舰长
45,12225081,晓江QAQ,舰长
46,25813,DeAdz-LinG,舰长
47,24334709,Patql,舰长
48,95044,dqdqe,舰长
49,310941,黑無象,舰长
50,3546685519170522,山谷粟,舰长
51,1633007,空空空调,舰长
52,103561022,坠落丶miss,舰长
53,2125777534,葱小丫,舰长
54,415674,芒伊木,舰长
55,3546784563464880,初星降春芜,舰长
56,6646129,三水化清沁三心,舰长
57,3546768440560225,Imiwakaran,舰长
58,15353944,夏哥我大哥,舰长
59,10908063,可宋_Official,舰长
60,21194537,芝士月球冰,舰长
61,3546827104193296,谢庄北,舰长
62,1508148,soil,舰长
63,1674512100,焙火乌龙夹子饼,舰长
64,3546893174966691,酱油_肠粉,舰长
65,142648055,修訾顾,舰长
66,192845115,念笙莫雨,舰长
67,563174933,卡娜-尤拉西斯,舰长
68,293772669,汐羽凑够6个硬币了,舰长
