rank,uid,username,type
1,33563,万受无酱,提督
2,244761,kooangel,提督
3,71161734,焰语娜娜,舰长
4,675359,出云的天线,舰长
5,306581,别说话-我在潜行,舰长
6,1668762828,Amnelis,舰长
7,28219035,羽意_,舰长
8,43657743,好想再睡多一会,舰长
9,542204,羊葱冰沙,舰长
10,251481034,Sora泉,舰长
11,179619755,gglyeah,舰长
12,13490,CZT_吃枕头,舰长
13,6666274,LadonQ,舰长
14,1052926133,无已时,舰长
15,3493262004324891,山竹_June,舰长
16,444976250,Tomjojo,舰长
17,67765750,坐在马桶上冥想,舰长
18,13921283,错了错了滑轨投降了,舰长
19,16257134,笨饭无聊,舰长
20,52765711,风稀饭大王丶,舰长
21,95044,dqdqe,舰长
22,1608271,zf000ooo,舰长
23,38197296,千知知知知,舰长
24,40462833,这周也很好看,舰长
25,1412940,Enyc,舰长
26,272976284,四线玩家,舰长
27,85443681,Emu-Ra,舰长
28,13235420,高达是真的帅,舰长
29,4868003,茉宁Yukina,舰长
30,2046622850,雪绘Yukie是我的白月光,舰长
31,39669948,夜奈洛,舰长
